Gemeinde,Postleitzahl,Lon,Lat,Bundesland,SchÅler
Graz,8010,47.0833,15.5417,Steiermark,47470
Linz,4020,48.3064,14.2861,Oberîsterreich,44695
"Wien 22.,Donaustadt",1220,48.219,16.495,Wien,29245
Innsbruck,6020,47.2714,11.3865,Tirol,28206
Salzburg,5020,47.7994,13.044,Salzburg,28000
"Wien 21.,Floridsdorf",1210,48.3,16.35,Niederîsterreich,26357
"Wien 10.,Favoriten",1100,48.1521,16.3878,Wien,23207
Klagenfurt am Wîrther See,9020,46.6506,14.3539,KÑrnten,20950
"Wien 3.,Landstra·e",1030,48.1981,16.3948,Wien,15161
"Wien 23.,Liesing",1230,48.1433,16.2934,Wien,14764
Wels,4600,48.2039,14.0373,Oberîsterreich,14320
St. Pîlten,3100,48.1833,15.5667,Niederîsterreich,13905
"Wien 12.,Meidling",1120,48.1705,16.3223,Wien,13089
"Wien 15.,Rudolfsheim-FÅnfhaus",1150,48.196,16.3183,Wien,12881
"Wien 2.,Leopoldstadt",1020,48.2167,16.4,Wien,12350
Villach,9500,46.6173,13.8349,KÑrnten,12134
Wiener Neustadt,2700,47.8,16.25,Niederîsterreich,11388
"Wien 11.,Simmering",1110,48.164,16.4463,Wien,10800
"Wien 14.,Penzing",1140,48.2077,16.1754,Niederîsterreich,10397
Bregenz,6900,47.5,9.7667,Vorarlberg,9524
"Wien 6.,Mariahilf",1060,48.1952,16.3503,Wien,9510
"Wien 19.,Dîbling",1190,48.2591,16.3339,Wien,9404
"Wien 20.,Brigittenau",1200,48.2402,16.3773,Wien,9127
Dornbirn,6850,47.4141,9.8515,Vorarlberg,8802
"Wien 13.,Hietzing",1130,48.1773,16.2456,Wien,8743
Steyr,4400,48.0427,14.4213,Oberîsterreich,8729
"Wien 16.,Ottakring",1160,48.2167,16.3,Wien,8680
"Wien 18.,WÑhring",1180,48.2356,16.3193,Wien,7816
"Wien 5.,Margareten",1050,48.1865,16.3549,Wien,7602
Mîdling,2340,48.1,16.2833,Niederîsterreich,7397
Feldkirch,6800,47.2331,9.6,Vorarlberg,6926
Baden,2500,47.9757,16.3219,Niederîsterreich,6487
Vîcklabruck,4840,48.0017,13.6588,Oberîsterreich,6465
Eisenstadt,7000,47.8457,16.5233,Burgenland,6215
Krems an der Donau,3500,48.4016,15.581,Niederîsterreich,6133
"Wien 17.,Hernals",1170,48.2338,16.2901,Wien,5788
"Wien 7.,Neubau",1070,48.2,16.35,Wien,5731
Amstetten,3300,48.1216,14.8796,Niederîsterreich,5710
Ried im Innkreis,4910,48.1907,13.4866,Oberîsterreich,5706
Hallein,5083,47.7485,13.0273,Salzburg,5180
Hollabrunn,2014,48.5333,16.05,Niederîsterreich,4920
"Wien 4.,Wieden",1040,48.192,16.3671,Wien,4864
"Wien 8.,Josefstadt",1080,48.2167,16.35,Wien,4630
"Wien 1.,Innere Stadt",1010,48.2077,16.3705,Wien,4627
Stockerau,2000,48.4,16.1333,Niederîsterreich,4546
